time,open,high,low,close,volume,symbol
2023-12-12,33.92,34.37,33.67,34.25,957886,BID
2023-12-12,18.45,18.52,18.31,18.52,3347258,CTG
2023-12-12,20.83,21.36,20.83,21.17,31693150,HPG
2023-12-12,56.25,56.25,55.78,55.92,1007855,VCB
2023-12-12,41.0,41.3,40.75,41.05,6171848,VHM
2023-12-12,60.68,60.76,59.81,60.16,2791599,VNM
2023-12-13,34.25,34.33,33.18,34.0,794504,BID
2023-12-13,18.62,18.76,18.31,18.35,3631524,CTG
2023-12-13,21.29,21.36,20.68,20.72,33356819,HPG
2023-12-13,55.92,56.12,55.58,55.58,1154515,VCB
2023-12-13,41.2,41.65,40.65,40.75,9943249,VHM
2023-12-13,60.33,60.42,59.03,59.12,4516351,VNM
2023-12-14,34.04,34.16,33.75,34.0,780657,BID
2023-12-14,18.48,18.48,18.14,18.35,3875365,CTG
2023-12-14,20.87,20.87,20.49,20.49,31784558,HPG
2023-12-14,55.78,56.12,55.78,56.05,841937,VCB
2023-12-14,41.1,41.25,40.25,40.3,4706774,VHM
2023-12-14,59.29,59.72,59.12,59.29,1463160,VNM
2023-12-15,33.88,34.08,33.71,33.92,562608,BID
2023-12-15,18.18,18.42,18.07,18.31,3970818,CTG
2023-12-15,20.53,20.61,20.26,20.3,34693422,HPG
2023-12-15,55.78,56.05,54.59,54.59,2531751,VCB
2023-12-15,40.45,40.55,39.85,39.9,6801507,VHM
2023-12-15,59.38,59.46,59.03,59.03,3741675,VNM
2023-12-18,33.55,33.92,33.1,33.51,679053,BID
2023-12-18,18.18,18.31,17.87,17.87,3838367,CTG
2023-12-18,20.38,20.45,20.15,20.15,14883440,HPG
2023-12-18,54.99,55.05,54.12,54.12,1805761,VCB
2023-12-18,40.2,40.2,39.85,39.9,3564888,VHM
2023-12-18,59.03,59.12,58.08,58.08,3518371,VNM
2023-12-19,33.51,33.92,33.14,33.67,823834,BID
2023-12-19,17.9,18.18,17.8,18.18,2309159,CTG
2023-12-19,20.15,20.61,20.11,20.61,20502049,HPG
2023-12-19,54.12,54.12,53.19,53.92,1964252,VCB
2023-12-19,39.9,39.95,39.3,39.5,5229860,VHM
2023-12-19,58.16,58.42,57.47,58.08,3066185,VNM
2023-12-20,34.25,34.33,33.35,33.75,1025521,BID
2023-12-20,18.04,18.24,17.97,18.21,2389371,CTG
2023-12-20,20.61,20.72,20.53,20.61,17666787,HPG
2023-12-20,53.92,53.99,53.46,53.86,1873375,VCB
2023-12-20,39.85,39.95,39.5,39.95,2358415,VHM
2023-12-20,58.08,59.12,58.08,59.03,2605917,VNM
2023-12-21,33.43,34.25,33.43,34.16,1137420,BID
2023-12-21,18.11,18.24,18.0,18.21,2581937,CTG
2023-12-21,20.53,20.68,20.42,20.61,14312119,HPG
2023-12-21,53.79,53.79,53.33,53.72,2031463,VCB
2023-12-21,39.7,40.45,39.65,40.2,3558160,VHM
2023-12-21,58.86,59.2,58.77,58.77,2587654,VNM
2023-12-22,34.16,34.69,33.84,34.69,1190985,BID
2023-12-22,18.18,18.24,18.07,18.14,2170049,CTG
2023-12-22,20.61,20.72,20.49,20.49,17434981,HPG
2023-12-22,53.72,53.86,53.39,53.72,1581238,VCB
2023-12-22,40.2,40.4,40.0,40.3,3290547,VHM
2023-12-22,58.77,59.03,58.51,58.6,2147607,VNM
2023-12-25,34.74,35.39,34.33,35.31,1175553,BID
2023-12-25,18.21,18.45,18.18,18.45,4085488,CTG
2023-12-25,20.57,20.91,20.57,20.79,20414974,HPG
2023-12-25,53.72,54.32,53.59,54.32,1303639,VCB
2023-12-25,40.3,41.25,40.3,41.2,5960459,VHM
2023-12-25,58.6,59.55,58.6,58.86,2675110,VNM
2023-12-26,35.31,35.59,34.9,35.14,1165412,BID
2023-12-26,18.42,18.48,18.38,18.38,3249323,CTG
2023-12-26,20.76,21.14,20.76,21.06,33753533,HPG
2023-12-26,54.45,54.99,54.45,54.99,973002,VCB
2023-12-26,41.5,42.2,41.3,41.9,10397855,VHM
2023-12-26,59.2,59.38,58.94,58.94,1977559,VNM
2023-12-27,34.98,35.31,34.98,35.14,939903,BID
2023-12-27,18.38,18.45,18.35,18.42,3010728,CTG
2023-12-27,21.1,21.21,21.02,21.02,19860170,HPG
2023-12-27,55.05,55.25,54.79,54.92,900989,VCB
2023-12-27,42.0,42.15,41.85,41.9,6037479,VHM
2023-12-27,59.38,59.56,58.94,58.94,1628408,VNM
2023-12-28,35.14,35.27,34.9,34.9,1100128,BID
2023-12-28,18.42,18.59,18.35,18.59,2985243,CTG
2023-12-28,21.02,21.36,20.95,21.17,31321948,HPG
2023-12-28,54.92,55.19,54.72,54.99,704577,VCB
2023-12-28,42.1,43.8,42.05,43.7,13136725,VHM
2023-12-28,58.94,59.82,58.94,59.82,2410778,VNM
2023-12-29,34.9,35.47,34.57,35.47,883671,BID
2023-12-29,18.66,18.76,18.59,18.59,4657613,CTG
2023-12-29,21.17,21.29,21.06,21.17,20475453,HPG
2023-12-29,55.45,55.72,53.33,53.33,1623585,VCB
2023-12-29,44.05,44.1,43.2,43.2,5327943,VHM
2023-12-29,59.99,59.99,59.03,59.03,1956751,VNM
2024-01-02,35.47,35.63,34.9,35.14,1112938,BID
2024-01-02,18.62,18.69,18.55,18.66,3302172,CTG
2024-01-02,21.29,21.33,20.79,20.79,22196509,HPG
2024-01-02,55.05,55.52,54.59,55.45,1788420,VCB
2024-01-02,43.3,43.75,42.55,43.0,7591730,VHM
2024-01-02,59.56,59.82,59.29,59.64,2144983,VNM
2024-01-03,35.47,36.04,35.14,35.8,1561832,BID
2024-01-03,18.66,18.93,18.55,18.93,3125515,CTG
2024-01-03,20.76,21.06,20.76,21.06,18581664,HPG
2024-01-03,55.45,56.12,54.99,56.12,1374590,VCB
2024-01-03,42.6,43.4,42.55,43.4,6114634,VHM
2024-01-03,59.73,60.25,59.38,60.25,1891530,VNM
2024-01-04,35.88,36.78,35.63,35.68,3214754,BID
2024-01-04,18.96,20.23,18.9,19.62,14699663,CTG
2024-01-04,21.06,21.29,20.98,21.02,38548706,HPG
2024-01-04,56.12,57.24,55.78,57.04,2660779,VCB
2024-01-04,43.55,43.7,43.25,43.45,8780655,VHM
2024-01-04,60.34,60.69,60.25,60.25,3403997,VNM
2024-01-05,35.72,36.74,35.72,36.37,1331657,BID
2024-01-05,19.72,19.99,19.68,19.89,8768136,CTG
2024-01-05,21.02,21.14,20.87,21.06,17340693,HPG
2024-01-05,57.04,57.24,56.91,57.24,1181807,VCB
2024-01-05,43.45,43.55,43.05,43.1,4510634,VHM
2024-01-05,60.52,60.52,59.82,60.08,1477880,VNM
2024-01-08,36.62,38.0,36.49,37.92,1951306,BID
2024-01-08,20.23,20.44,19.92,20.27,12118831,CTG
2024-01-08,21.17,21.4,21.1,21.1,31258576,HPG
2024-01-08,57.31,57.64,57.31,57.64,1611721,VCB
2024-01-08,43.2,43.85,42.9,43.35,6216748,VHM
2024-01-08,60.25,60.34,59.56,59.56,2399171,VNM
2024-01-09,38.41,38.41,37.64,37.64,1743286,BID
2024-01-09,20.3,20.68,20.1,20.58,14357614,CTG
2024-01-09,21.14,21.17,20.83,20.98,28631164,HPG
2024-01-09,57.64,58.37,57.64,58.31,1928985,VCB
2024-01-09,43.15,43.3,42.65,43.0,6379398,VHM
2024-01-09,59.56,59.82,59.38,59.47,2461700,VNM
2024-01-10,37.64,39.07,37.6,38.74,2144305,BID
2024-01-10,20.58,21.36,20.47,21.26,13931670,CTG
2024-01-10,20.98,21.02,20.64,20.72,32654545,HPG
2024-01-10,58.31,59.44,57.91,59.44,1800328,VCB
2024-01-10,43.0,43.0,42.1,42.7,6792763,VHM
2024-01-10,59.47,59.47,58.86,58.94,3010809,VNM
2024-01-11,38.58,38.62,37.76,38.0,3399421,BID
2024-01-11,21.33,21.6,20.85,21.26,9751672,CTG
2024-01-11,20.79,20.95,20.76,20.83,15271976,HPG
2024-01-11,59.44,59.77,58.84,59.3,1491432,VCB
2024-01-11,42.5,43.05,42.0,42.0,6971310,VHM
2024-01-11,58.94,59.82,58.94,59.29,2085776,VNM
2024-01-12,37.51,38.58,36.82,37.6,3091109,BID
2024-01-12,21.12,21.84,20.99,21.6,17191036,CTG
2024-01-12,20.72,20.79,20.49,20.57,28640291,HPG
2024-01-12,58.51,59.44,58.04,58.9,1911967,VCB
2024-01-12,41.8,41.9,40.9,41.3,8330552,VHM
2024-01-12,59.03,59.29,58.51,58.68,3286730,VNM
2024-01-15,37.64,38.41,37.64,38.09,1345255,BID
2024-01-15,21.64,21.74,21.26,21.54,6955646,CTG
2024-01-15,20.61,20.79,20.53,20.53,12506342,HPG
2024-01-15,59.1,59.83,59.04,59.77,1916364,VCB
2024-01-15,41.8,41.85,41.4,41.6,3151249,VHM
2024-01-15,58.68,58.94,58.51,58.51,2228627,VNM
2024-01-16,37.64,38.37,37.64,38.33,1135791,BID
2024-01-16,21.3,21.54,21.12,21.54,7473186,CTG
2024-01-16,20.53,21.06,20.49,21.06,19773999,HPG
2024-01-16,59.1,59.83,59.04,59.77,1368816,VCB
2024-01-16,41.6,42.65,41.45,42.65,3776742,VHM
2024-01-16,58.51,58.86,58.25,58.86,2074925,VNM
2024-01-17,38.05,38.41,37.84,38.29,1469274,BID
2024-01-17,21.3,21.6,21.26,21.36,6759001,CTG
2024-01-17,21.1,21.17,20.95,20.95,23419285,HPG
2024-01-17,59.1,60.43,59.1,60.37,1581258,VCB
2024-01-17,42.65,42.85,41.9,41.9,6345684,VHM
2024-01-17,58.94,59.29,58.51,58.6,1829118,VNM
2024-01-18,38.29,39.11,38.13,38.82,2293041,BID
2024-01-18,21.36,21.67,21.19,21.6,8870604,CTG
2024-01-18,20.98,21.1,20.91,20.95,12645044,HPG
2024-01-18,60.37,60.56,59.77,60.5,1424696,VCB
2024-01-18,42.25,43.5,42.05,43.2,8941804,VHM
2024-01-18,58.77,59.21,58.77,58.86,1230002,VNM
2024-01-19,39.15,40.74,38.58,40.74,2971887,BID
2024-01-19,21.74,22.36,21.57,22.36,14148196,CTG
2024-01-19,21.02,21.14,20.91,21.06,14866159,HPG
2024-01-19,60.43,61.76,60.03,61.49,1477733,VCB
2024-01-19,43.35,43.6,43.0,43.05,5533944,VHM
2024-01-19,58.86,59.91,58.86,59.38,2621840,VNM
2024-01-22,40.82,41.03,39.8,40.7,2372235,BID
2024-01-22,22.33,22.39,21.91,22.39,8707571,CTG
2024-01-22,21.21,21.7,21.1,21.44,66094584,HPG
2024-01-22,62.09,62.09,61.1,61.1,1048242,VCB
2024-01-22,43.35,43.45,42.8,43.0,4711104,VHM
2024-01-22,59.38,59.99,59.38,59.64,1961559,VNM
2024-01-23,40.46,40.7,39.76,40.38,2186583,BID
2024-01-23,22.39,22.5,21.88,22.08,9146723,CTG
2024-01-23,21.55,21.59,21.4,21.48,21686564,HPG
2024-01-23,61.16,61.36,60.03,60.76,1259446,VCB
2024-01-23,43.05,43.2,42.3,42.35,5258263,VHM
2024-01-23,59.64,59.64,59.03,59.12,2113751,VNM
2024-01-24,39.64,40.21,39.6,39.97,1872754,BID
2024-01-24,21.91,22.22,21.88,21.95,5007177,CTG
2024-01-24,21.44,21.59,21.4,21.4,16144379,HPG
2024-01-24,60.83,61.1,60.37,60.5,746187,VCB
2024-01-24,42.35,42.95,42.3,42.5,2743314,VHM
2024-01-24,59.21,59.38,58.68,58.77,2085392,VNM
2024-01-25,39.97,40.66,39.56,39.56,1353235,BID
2024-01-25,21.95,22.02,21.67,21.98,5171934,CTG
2024-01-25,21.4,21.51,21.21,21.4,15234746,HPG
2024-01-25,60.5,60.83,60.23,60.43,505031,VCB
2024-01-25,42.5,42.5,42.05,42.1,2297052,VHM
2024-01-25,58.86,58.94,58.42,58.42,2662473,VNM
2024-01-26,39.56,40.01,39.56,40.01,814358,BID
2024-01-26,22.02,22.12,21.91,22.02,3686228,CTG
2024-01-26,21.51,21.59,21.4,21.48,14380956,HPG
2024-01-26,60.83,61.1,60.7,61.1,953670,VCB
2024-01-26,42.2,42.5,42.0,42.0,4353577,VHM
2024-01-26,58.51,58.94,58.51,58.51,1677432,VNM
2024-01-29,39.97,40.21,39.64,39.8,986750,BID
2024-01-29,22.02,22.46,21.95,22.15,5889586,CTG
2024-01-29,21.48,21.51,21.21,21.21,21583456,HPG
2024-01-29,60.96,61.1,60.37,60.56,732044,VCB
2024-01-29,42.3,42.3,41.8,41.8,3168351,VHM
