time,open,high,low,close,volume,symbol
2026-03-06,44.0,45.0,43.0,43.55,5423100,BID
2026-03-06,35.9,36.3,35.65,35.65,8532000,CTG
2026-03-06,27.0,27.6,26.85,27.25,44351700,HPG
2026-03-06,62.0,63.2,61.6,61.6,8854200,VCB
2026-03-06,95.0,96.5,93.0,95.0,6979200,VHM
2026-03-06,63.0,63.0,62.2,62.4,6471800,VNM
2026-03-09,40.55,41.0,40.55,40.55,6134800,BID
2026-03-09,33.2,33.5,33.2,33.2,17770800,CTG
2026-03-09,25.5,26.15,25.35,25.35,120981900,HPG
2026-03-09,57.4,59.7,57.3,57.3,29396000,VCB
2026-03-09,88.5,91.1,88.4,88.4,17232900,VHM
2026-03-09,59.0,59.1,58.1,58.1,18046300,VNM
2026-03-10,41.5,42.8,39.5,41.8,14055500,BID
2026-03-10,34.2,35.15,33.6,35.05,24975700,CTG
2026-03-10,26.8,27.1,26.15,27.1,91236600,HPG
2026-03-10,59.8,60.9,58.8,60.4,11524700,VCB
2026-03-10,90.3,92.9,88.3,89.8,5665600,VHM
2026-03-10,60.0,62.1,59.5,62.1,10762100,VNM
2026-03-11,41.3,42.35,41.3,41.7,6154500,BID
2026-03-11,35.0,35.6,34.7,35.1,12877000,CTG
2026-03-11,27.15,27.65,26.95,27.4,49913200,HPG
2026-03-11,60.5,61.2,60.0,60.4,8789200,VCB
2026-03-11,89.2,95.9,89.2,95.9,6734300,VHM
2026-03-11,61.7,63.7,61.6,63.0,7507500,VNM
2026-03-12,41.8,41.9,40.65,40.75,6452900,BID
2026-03-12,34.8,34.9,34.25,34.3,12913700,CTG
2026-03-12,27.0,27.15,26.65,26.8,44045900,HPG
2026-03-12,60.2,60.3,59.5,59.8,6217000,VCB
2026-03-12,93.7,95.9,93.5,95.9,4137400,VHM
2026-03-12,62.0,62.7,61.3,61.6,6298800,VNM
2026-03-13,40.6,41.25,39.95,40.65,7923500,BID
2026-03-13,34.3,34.5,33.95,34.0,8278900,CTG
2026-03-13,26.7,27.2,26.5,26.65,28666500,HPG
2026-03-13,59.2,60.1,58.9,59.0,5656900,VCB
2026-03-13,94.5,98.0,93.9,98.0,3989100,VHM
2026-03-13,62.0,63.2,61.6,63.1,5388500,VNM
